study_id,x,y,z,stat_value,sample_size,space
10022494,14.0,-92.0,2.0,1.96,40,mni152_2mm
10022494,56.0,-22.0,54.0,-5.727412768246183,36,mni152_2mm
10022494,-10.0,-78.0,34.0,2.619457390561121,43,mni152_2mm
10022494,-8.0,-76.0,12.0,5.0362434899103175,27,mni152_2mm
10022494,52.0,-56.0,-20.0,2.634068224095995,35,mni152_2mm
10022494,18.0,-76.0,-16.0,1.96,30,mni152_2mm
10022494,-36.0,-20.0,58.0,1.96,37,mni152_2mm
10022494,-36.0,-8.0,54.0,3.172192618996677,78,mni152_2mm
10022494,14.0,-76.0,12.0,5.666905975039589,54,mni152_2mm
10022494,16.0,-76.0,56.0,3.156673686668434,22,mni152_2mm
10022494,0.0,-16.0,68.0,5.904446520382499,58,mni152_2mm
10022494,28.0,-72.0,-20.0,5.066437696924922,31,mni152_2mm
10022494,68.0,20.0,24.0,4.815060252141869,27,mni152_2mm
10022494,64.0,-18.0,44.0,-1.96,27,mni152_2mm
10022494,-10.0,-50.0,74.0,-4.290143891272052,60,mni152_2mm
10022494,16.0,-68.0,10.0,3.724503366387037,33,mni152_2mm
10022494,-6.0,-4.0,10.0,6.237333727884855,43,mni152_2mm
10022494,66.0,10.0,-2.0,-5.309775111547503,33,mni152_2mm
10022494,32.0,-72.0,-20.0,2.9089290719042795,24,mni152_2mm
10022494,-44.0,-36.0,24.0,2.7479490266516953,33,mni152_2mm
10022494,6.0,-78.0,12.0,1.96,64,mni152_2mm
10022494,-54.0,-38.0,34.0,-3.29021187678485,29,mni152_2mm
10022494,-60.0,-8.0,8.0,4.541203915057647,39,mni152_2mm
10022494,62.0,-18.0,10.0,-4.094307909701249,19,mni152_2mm
10022494,-30.0,28.0,12.0,-1.96,33,mni152_2mm
10022494,-24.0,-80.0,-20.0,3.8869936951874697,55,mni152_2mm
10022494,-38.0,-4.0,60.0,1.96,63,mni152_2mm
10022494,-64.0,-36.0,16.0,1.96,41,mni152_2mm
10388802,-48.0,30.0,27.0,5.067045752552214,31,mni152_2mm
10388802,33.0,-12.0,-21.0,3.106689313330251,36,mni152_2mm
10388802,-36.0,-66.0,39.0,2.684460435331423,57,mni152_2mm
